asin,title,price_value,rating,helpfulVoteCount,sentiment_score,liked
B00021NY28,Gloria Vanderbilt Women's Amanda Classic High Rise Tapered Jean,16.7665,4.4,67,0.2690618914815343,1
B0006U6C0Q,Wrangler Men's Cowboy Cut Slim Fit Jeans,29.9843,4.5,294,0.30623278358546213,1
B0007CKJSY,Wrangler Men's 13MWZ Cowboy Cut Original Fit Jeans,18.9464,4.9,128,0.16982853765488934,1
B0008EOG9E,Lee Men's Regular Fit Straight Leg Jean,34.905,4.8,2,0.2705108710733711,1
B0008EOGAS,Lee Men's Regular Fit Straight Leg Jean,31.98,4.6,5,0.26461978765312094,1
B000J9YQOS,"Champion Men's Shorts, Men's Mesh Gym Shorts, Lightweight Athletic Shorts (Reg. Or Big & Tall)",14.2952,4.6,19,0.3725770741604075,1
B000SKI752,Hanes Men's 6-12 6-Pack Cushion Crew Socks,12.0,5.0,0,0.468452380952381,1
B000U62IYK,"Russell Athletic Men's Dri Power Fleece Open Bottom Sweatpants with Pockets, Relaxed Fit, Moisture Wicking",20.99,4.1,134,0.24879493432078328,1
B000W93PX8,Rockport Men's Eureka Walking Shoe,69.953,4.5,538,0.1511576970022867,1
B0018OMIOI,Levi's Men's 550 Relaxed Fit Jeans (Also Available in Big & Tall),43.7937,4.5,23,0.24688667534219483,1
B0018ON68A,Levi's Men's 501 Original Fit Jeans (Also Available in Big & Tall),55.653,4.6,329,0.2734498658530763,1
B001NSEC9I,Haggar Men’s Hidden Expandable Waistband Classic Fit Pleated Front Gabardine Dress Pant,65.0,4.5,5,0.3132169312502645,1
B001NZCXNI,Merrell Men's Jungle Leather Slip-On Shoe,62.07379999999999,4.9,19,0.3058443855787606,1
B002GHC19I,Carhartt Men's Loose Fit Heavyweight Short-Sleeve Pocket T-Shirt,19.99,4.909090909090909,30,0.33976799000479124,1
B005LCMU00,"U.S. Polo Assn. Men's Classic Polo Shirt, Two-Button Closure Pique Polo Shirt, Summer Fashion Golf Shirt",19.989,4.5,2,0.3084325798470535,1
B005OLALQI,PUMA Men's Roma Sneaker,46.9933,4.4,22,0.20843256362374007,1
B0076R6L58,Columbia Steens Mountain™ Full Zip 2.0,45.95,4.9,6,0.5387830687830688,1
B008KWXQ38,LONDON FOG Men's Auburn Zip-Front Golf Jacket (Regular & Big-Tall Sizes),44.6026,5.0,0,0.3615884115884115,1
B00ACIGNMY,"Hanes Men's Tagless Briefs, Soft Moisture Wicking Underwear, Tagless, 7-pack",24.0043,4.7,12,0.22497690274008955,1
B00B6EDB64,Dickies Men's Heavyweight Crew Neck Short Sleeve Tee,16.99,4.666666666666667,298,0.17185867626982707,1
B00BBW2XZG,Dockers Men's Perfect Classic Fit Shorts (Regular and Big & Tall),23.641599999999997,4.818181818181818,47,0.41143579904943534,1
B00CAXQYMS,"Hanes Men's Underwear Boxer Briefs Pack, Cotton ComfortSoft Boxer Brief for Men, Moisture-Wicking Breathable, Multipack",18.0,4.9,6,0.34651839826839825,1
B00CAXS2Q4,"Hanes Men's Boxers, Cotton Knit Comfortable Boxer Underwear, Moisture-wicking Cotton Boxers, 5-pack",20.0,4.9,14,0.4236825396825397,1
B00D881IBG,Skechers Men's Afterburn Memory Fit Lace-up Sneaker,60.8424,4.7,216,0.28338833669666996,1
B00EUHD56A,Legendary Whitetails Journeyman Shirt Jacket Flannel Lined Shacket for Men Water-Resistant Coat Rugged Fall Clothing,86.46,4.6,854,0.23440803823942957,1
B00G99WZJU,"Hanes Men's Tagless Boxer Underwear, Exposed Waistband, Multi-packs Available",22.99,4.9,2,0.35516296296296296,1
B00GZIT5A2,U.S. Polo Assn. Men's Crew Neck Pocket T-Shirt (Color Group 2 of 2),12.0054,5.0,0,0.8,1
B00H383N8I,"Jerzees Men's Dri-Power Cotton Blend Long Sleeve Tees, Moisture Wicking, Odor Protection, UPF 30+, Sizes S-3x",10.74,4.5,41,0.21583944135574568,1
B00IO9H6QU,Hanes Men's Double Tough Ankle Socks,11.8321,4.7,3,0.26750220456825397,1
B00IO9JCY4,Hanes Men's FreshIQ Over The Calf Tube Socks (Pack of 12),14.98,4.8,2,0.44707070707070706,1
B00JUM2V8I,Hanes Men's EcoSmart Fleece Hoodie Sweatshirt,12.4643,5.0,0,0.22117870225013078,1
B00JUM4CT4,Hanes Men's EcoSmart Fleece Full-Zip Hoodie Sweatshirt,13.354400000000002,2.9,105,0.1261773504273504,1
B00MGBBMTY,Levi's Men's 541 Athletic Fit Jeans (Also Available in Big & Tall),43.2638,4.9,77,0.25610159240331065,1
B00MU2OR3W,Skechers Men's Expected Avillo Relaxed-Fit Slip-On Loafer,42.1435,4.8,43,0.28856861854250243,1
B00NOY3JKW,"Hanes Men's Beefy-T T-Shirt, Heavyweight Cotton Tee, 1 Or 2 Pack, Big & Tall",8.1932,4.5,80,0.22093000497616413,1
B00PUAO7MM,"U.S. Polo Assn. Men's Solid Short Sleeve Interlock Polo Shirt, Golf Shirts for Men, Business Casual Polos",17.5,4.6,0,0.4681666666666667,1
B00PWP0JFO,"Hanes Men's Boxer Briefs, Soft and Breathable Cotton Underwear with ComfortFlex Waistband, Multipack",17.5,4.7,19,0.3703452881152461,1
B00QNAL9U6,Lee Men's Extreme Motion Flat Front Regular Straight Pant,36.9012,4.454545454545454,17,0.24788563055505672,1
B00SMJOETO,Clarks Men's Tilden Cap Oxford,58.2035,4.6,48,0.3058776436063936,1
B00UV3TGUG,Levi's Men's 559 Relaxed Straight Jeans (Also Available in Big & Tall),46.9932,2.9,70,0.1841249950446379,1
B00VTV5XU6,"Fruit of the Loom Men's Cotton Briefs, Tag Free & Moisture Wicking, Assorted Color Multipacks",11.2036,4.8,6,0.35639893836322406,1
B00XKYM2AE,Wrangler Authentics Men's Premium Twill Cargo Short,27.87,4.7272727272727275,44,0.2980675672039945,1
B00XPFFXKO,Hanes Boys' Eco Smart Pullover Hoodie,14.003,4.6,10,0.3212534972322262,1
B00XPFM1RC,"Hanes Boys EcoSmart Fleece Sweatpants, Midweight Cotton/Poly Fleece Pants for Boys, Cuffed Sweats",12.0025,4.6,21,0.38267619044285717,1
B00YKRP324,Dockers Men's Relaxed Fit Comfort Khaki Pants - Pleated,49.99,4.5,0,0.30045238095238097,1
B010C7M9Z4,"Hanes Men's Cool Dri Polo Shirt, Quick-Drying Performance Polo For Men, 40+ Upf Protection",16.4625,4.7,76,0.29966153256321104,1
B0132MFEA8,Hanes Men's Short Sleeve X-Temp Performance Polo,12.5434,4.7,18,0.3238436948853615,1
B0151E6WTW,"Hanes Men's Athletic Shorts, Favorite Cotton Jersey Shorts, Pull-On Knit Shorts with Pockets, Knit Gym Shorts, 7.5"" Inseam",9.9038,4.454545454545454,2,0.30258979908979905,1
B016Y8268U,Lee Men's Extreme Motion Flat Front Short,34.99,4.75,14,0.24725041492898633,1
B01AK7Z1ZG,"Champion Men's Sport Shorts, Moisture Wicking, Athletic Shorts, Gym Shorts (Reg. Or Big & Tall)",18.7425,4.7,32,0.28952789007682905,1
B01AZ4DAJ8,U.S. Polo Assn. Men’s Undershirt – 4 Pack Crew Neck Short Sleeve T-Shirt,26.951,3.9,2,0.21291666669999998,1
B01AZ4DAKM,U.S. Polo Assn. Men's Undershirts - 4 Pack V Neck Undershirts for Men (S-XL),29.95,4.3,8,0.35953174603174604,1
B01BDZMIK0,Polo Ralph Lauren Men's Classic Fit Jersey Short Sleeve Tee,55.0,5.0,0,0.5,1
B01BDZMRR4,Polo Ralph Lauren Men's Jersey Short Sleeve Tee,42.0,3.8,3,0.26271428574285716,1
B01BFJM9BW,French Toast Boys' Short Sleeve Crewneck Tee,7.506,4.8,5,0.4463690476190476,1
B01BUGS7DO,Carhartt Men's Rain Defender Relaxed Fit Heavyweight Softshell Jacket,119.98999999999998,4.9,2,0.3326577380952381,1
B01C7KBKJU,Men's Cotton Welcro Pocket Dhoti 32 White,0.0,3.8,2,0.42667361111111113,1
B01DOLE1QA,"Hanes Essentials Sweatpants, Men’s Cotton Jersey Pants with Pockets, 33”",11.3343,4.5,42,0.21624358044733044,1
B01DTY5PGW,Lee Women's Plus Size Relaxed Fit Straight Leg Jean,28.003499999999995,4.5,22,0.30653220826792255,1
B01EMMB4LK,The Children's Place Boys' Uniform Short Sleeve Pique Polo,6.9946,4.9,20,0.35920668088525226,1
B01EX7UGI6,Exotic India Afterglow Dhoti and Angavastram Set from Kashi with Wov - Off-White,0.0,5.0,0,0.55,1
B01FKZRV4M,The Children's Place Boys' Bottoms Cargo Shorts,11.9729,4.8,3,0.348041255041255,1
B01G3LZ0IG,PUMA Mens Tazon 6 Cross Trainer,35.005,4.7,4,0.44278968253968254,1
B01GH5JOJY,Under Armour Men's Tech Golf Polo,23.6941,4.9,25,0.3525718937758254,1
B01GQBWBYO,Wrangler Men's Retro Slim Fit Straight Leg Jeans,39.0043,5.0,0,0.16716666666666666,1
B01H7ENCLA,Levi Strauss Signature Gold Men's Carpenter Jeans,23.9814,4.6,0,0.3960416666666666,1
B01H7HOS6U,"Champion Men's Joggers, Powerblend, Fleece Joggers, Comfortable Sweatpants for Men (Reg. or Big & Tall)",29.953300000000002,4.9,18,0.2746377465460798,1
B01IA6CJ36,Skechers Men's Cankton Steel Toe Construction Shoe,69.9918,4.6,108,0.2178693327296856,1
B01IR7TZWG,Levi's Men's 505 Regular Fit Jeans (Also Available in Big & Tall),47.1732,4.9,40,0.33668697227302447,1
B01ISMKS7G,Levi's Men's 569 Loose Straight Fit Jeans,59.9914,4.9,13,0.3524640689997833,1
B01JQTOOMA,Amazon Essentials Men's Classic-Fit Wrinkle-Resistant Flat-Front Chino Pant (Available in Big & Tall),29.5,4.4,44,0.20329091158704257,1
B01JQTRMEC,Amazon Essentials Men's Classic-Fit Cargo Short (Available in Big & Tall),13.2517,4.6,42,0.28478783538398916,1
B01JZ0XPDE,Hoerev Men Casual Beach Trousers Linen Summer Pants,28.99,4.3,41,0.16778873106030842,1
B01L0B0B24,Tommy Hilfiger Men's Down Alternative Hooded Puffer Jacket (Standard and Big & Tall),84.0,4.75,4,0.32874579124579123,1
B01L8JJ5KC,"Hanes Men's EcoSmart Fleece, Pullover Crewneck Sweatshirt, 1 or 2 Pack",11.9933,4.5,35,0.15344126937876937,1
B01L9H7IS4,"Hanes Sport Xtemp Workout Pockets, Men's Training Pants",15.904500000000002,4.3,77,0.22910487772608984,1
B01LXS51OS,LONDON FOG Men's Wool Blend Car Coat with Bib,119.97,4.7,0,0.42690901360544214,1
B01M0DR0HO,"Gildan Adult Fleece Open Bottom Sweatpants with Pockets, Style G18300",10.9915,4.5,21,0.2317310555801268,1
B01M2CO9DQ,"Simple Joys by Carter's Baby Girls' Long-Sleeve Bodysuit, Pack of 5",15.2215,4.9,3,0.4065000000222222,1
B01M2ZRGN4,Under Armour Men's Sportstyle Tricot Joggers,52.741200000000006,4.9,32,0.36716409747659745,1
B01M3U4MS1,YuanLu Boys Suit for Kids Tuxedo Wedding Ring Bearer Outfit Boy Formal Suits 5 Piece Slim Fit Dresswear Suit Set,47.99,5.0,0,0.67,1
B01M5JGO6D,Simple Joys by Carter's unisex-baby 6-piece Bodysuits (Short and Long Sleeve) and Pants Set,23.305,4.9,4,0.4063194444444444,1
B01MDOUGX4,Lacoste Men's Short Sleeve Crew Neck Pima Cotton Jersey T-Shirt,29.994999999999997,4.3,9,0.1313115442980522,1
B01MRVU8WD,Clarks Women's Emslie Lulin Dress Pump,63.10260000000001,4.5,64,0.34632440476190474,1
B01MSM0SU4,Simple Joys by Carter's baby-girls 6-piece Bodysuits (Short and Long Sleeve) and Pants Set,24.5,4.8,2,0.3201751926721957,1
B01MSUQY5T,Haggar Men's Cool 18 Pro Classic Fit Pleat Front Hidden Expandable Waist Pant (Regular and Big & Tall Sizes),38.0046,4.9,0,0.44404761904761897,1
B01MYQDZU2,Wrangler Men's Retro Relaxed Fit Bootcut Jeans,51.6724,4.3,4,0.28207886905714286,1
B01MZFNQNC,Haggar Men's Premium No Iron Khaki Classic Fit Expandable Waist Flat Front Pant (Regular and Big & Tall Sizes),38.0046,4.666666666666667,6,0.26815581804891014,1
B01N28YIF8,Haggar Men's Casual Classic Fit Denim Trouser Pant-Regular and Big & Tall Sizes,42.5039,4.9,4,0.3286627976190476,1
B01N58LDY4,FREDD MARSHALL Men's Skinny Slim Fit Stretch Straight Leg Fashion Jeans Pants,23.994,3.5,9,0.2647261002886003,1
B01N7VGA1T,Dockers Men's Classic Fit Easy Khaki Pants (Regular and Big & Tall),39.99,4.6,8,0.44786111111111115,1
B01NA0C8IO,Dockers Men's Classic Fit Easy Khaki Pants - Pleated (Standard and Big & Tall),39.99,4.7,0,0.3179343828440467,1
B06VZ3RCYS,"Hanes Men’s X-Temp Short Sleeve Polo Shirt, Midweight Men's Shirt",11.0042,4.6,3,0.279880291005291,1
B06XD4BK82,"Hanes, EcoSmart Fleece Sweats for Men, Open Bottom Sweatpants, 30.5""",9.9845,4.5,122,0.19581421356421352,1
B071GB2K21,Skechers Women's Go Walk Joy Sneaker,35.003,3.7,342,0.18904047615714287,1
B071H3C5HP,Levi's Men's 511 Slim Fit Jeans (Also Available in Big & Tall),59.989999999999995,4.7,84,0.267303950310239,1
B071HWBZX1,"Little Me Baby Boys' Assorted, Multi, 0-12/12-24 Month",12.295,4.9,0,0.37107142857142855,1
B071WY2Q29,"Amazon Essentials Men's Crew Neck T-Shirts, Pack of 6, Versatile Basics,",24.4,4.6,177,0.23776515585475072,1
B0728KK8VK,"Amazon Essentials Men's Performance Tech Loose-Fit Shorts (Available in Big & Tall), Pack of 2",19.0,4.5,53,0.42541060103131045,1
B072FBNZHL,Skechers Men's Go Walk Max Slip-On Shoes,49.2924,4.5,19,0.2298797892244116,1
B072JLTLQT,Simple Joys by Carter's baby-girls 3-pack Snap-up Rompers,18.8412,5.0,0,0.2254464285714286,1
B072QRN7HR,"Hanes Men's EcoSmart Fleece, Pullover Crewneck Sweatshirt, 1 or 2 Pack",11.3037,4.7,208,0.2532052729988654,1
B073372KDR,Levi Strauss Signature Gold Men's Regular Fit Flex Jeans (Available in Big & Tall),27.99,4.818181818181818,12,0.4131915096915097,1
B073QX15SG,Ariat Men's M2 Boot Cut Jean,59.95,4.7,18,0.3121924603174603,1
B073R217LC,"Champion Men's Joggers, Lightweight Lounge Pants, Jersey Graphic Pants for Men, 31""",18.8146,4.6,24,0.314486074771789,1
B073SLX239,Amazon Essentials Men's Classic-Fit Wrinkle-Resistant Pleated Chino Pant (Available in Big & Tall),25.4211,4.5,21,0.3571975709475709,1
B073T4FJS1,Bruno Marc Men's Slip on Dress Loafers Formal Shoes,39.9917,4.6,17,0.36120238095238094,1
B073V3JSSB,Levi Strauss Signature Gold Men's Bootcut Fit Jeans,27.99,4.75,13,0.32361044029894837,1
B073V3LPFL,Levi Strauss Signature Gold Men's Relaxed Fit Flex Jeans (Available in Big & Tall),27.99,4.9,30,0.39626956722122975,1
B073WMFKPZ,Simple Joys by Carter's Baby Girls' 3-Pack Cotton Sleeper Gown,16.5,4.8,26,0.3711515151515152,1
B0743MHBYZ,Ultra Dry Thermal Underwear For Kids Long Johns Fleece Lined Leggings And Shirt Boy And Girl Unisex Underwear Base Layer,21.9,4.7,3,0.305231351981352,1
B0744PN2MV,Simple Joys by Carter's Baby 3-Pack Neutral Cotton Sleeper Gown,16.5,4.8,14,0.4368794823008533,1
B074KL2SHP,Wrangler Authentics Men's Regular Fit Comfort Flex Waist Jean,29.99,4.928571428571429,73,0.32976984917959135,1
B074KL8RVS,Wrangler Men's Regular Fit Comfort Flex Waist Jean,30.0,4.7368421052631575,12,0.4484759246601352,1
B074P49GC8,Hudson Baby Unisex Baby Plush Animal Face Bathrobe,10.99,4.888888888888889,0,0.2628284832451499,1
B074XY7MTG,"Hanes Men's Moisture-Wicking Crewneck Performance Undershirt, 5-Pack",24.5,2.9,58,0.14610626860128123,1
B075M97YPB,chouyatou Men's Classic Notched Collar Double Breasted Wool Blend Pea Coat,58.9841,4.1,45,0.23696524516315787,1
B075MXZ12G,Wrangler Authentics Men's Performance Comfort Flex Cargo Short,28.3,4.9,2,0.32908366316223453,1
B076TG95HL,Skechers Women's Summits Sneaker,40.0118,4.5,27,0.3007397637085137,1
B0775MHKD6,Amazon Essentials Men's Regular-Fit Long-Sleeve Casual Poplin Shirt,18.7821,4.5,73,0.30349901499466714,1
B0777YX2L3,Skechers Men's Nampa groton,34.9938,4.6,36,0.18525740191032591,1
B077PHG1MV,Dockers Men's Classic Fit Signature Lux Cotton Pleated Stretch Pants (Regular and Big & Tall),49.99,4.7,4,0.44164112903225805,1
B077SVB38N,5Mayi Mens Underwear Boxer Briefs Cotton Men's Boxer Briefs Underwear Men Pack,26.991300000000003,4.4,126,0.2317039944182801,1
B077XM54L9,Under Armour Men's Sportstyle Left Chest Short Sleeve T-Shirt,16.9932,4.6,2,0.3870912698746031,1
B077XQ3L5L,Under Armour Men's Tech 2.0 Long-Sleeve T-Shirt,30.0,4.7,0,0.3165486111111111,1
B077ZG222Z,"Gildan Mens Underwear Boxer Briefs, Multipack",16.99,4.75,9,0.38565592903828194,1
B077ZH6ZRD,"Gildan Men's A-Shirt Tanks, Multipack, Style G1104",15.2715,4.6,7,0.23371775536735856,1
B077ZJC1N9,"Gildan Men's V-Neck T-Shirts, Multipack, Style G1103",15.122400000000003,4.8,19,0.3097554124213788,1
B077ZJXCTS,"Gildan Men's Crew T-Shirts, Multipack, Style G1100",19.97,4.5,2,0.21870535714285716,1
B07815BYTV,Under Armour Men's Tech 2.0 V-Neck Short-Sleeve T-Shirt,16.9332,4.5,0,0.34381764069264065,1
B07848QFW3,Dockers Men's Classic Fit Signature Khaki Lux Cotton Stretch Pants,39.992,4.7272727272727275,3,0.20417568545598844,1
B07849QXR8,Dockers Men's Straight Fit Signature Lux Cotton Stretch Khaki Pant,41.3917,4.6,64,0.40239332817254897,1
B0785VV446,Under Armour Men's Tech 2.0 Short-Sleeve T-Shirt,16.5334,4.6,2,0.33271117216117213,1
B078HZRH3L,Cole Haan Mens 2.Zerogrand Laser Wingtip Oxford,139.9912,4.9,7,0.4058424908424908,1
B078LC7GCX,"Champion Men's T-Shirt, Classic Graphic T-Shirt, Soft and Comfortable T-Shirts for Men, Script Logo (Reg. or Big & Tall)",9.0064,4.909090909090909,18,0.40858438594234053,1
B078LZL68J,Wrangler Authentics Men's Classic 5-Pocket Regular Fit Flex Jean,31.77,3.9,67,0.16861167077000405,1
B0792XJHZL,TACVASEN Men's Special Ops Military Tactical Rain Jackets Winter Warm Fleece Softshell Hooded Raincoat Snowboard,53.9831,4.5,42,0.23139803338483458,1
B079GXK2KS,Converse Chuck Taylor All Star Lift Women's Lace Up Canvas Sneaker,69.957,4.9,9,0.355694715007215,1
B07B41HCNS,New Balance Men's 608 V5 Casual Comfort Cross Trainer,64.9813,4.7,17,0.2382940713495259,1
B07B422G13,New Balance Women's 608 V5 Cross Trainer,60.14200000000001,4.7,157,0.21451390309426022,1
B07B6KT78H,Lee Women's Ultra Lux Comfort with Flex Motion Bootcut Jean,27.7025,4.666666666666667,170,0.2154500869054009,1
B07B8HYGXW,adidas Boys' Iconic Tricot Athletic Pants,24.0033,5.0,4,0.5128571428571428,1
B07BHKQ8SM,Lee Men's Extreme Motion Athletic Taper Jean,39.905,5.0,0,0.105731922398589,1
B07BJKT4ZB,Amazon Essentials Men's Slim-Fit Casual Stretch Chino Pant,28.5,4.6,12,0.237994825708061,1
B07BJKWX4Y,Amazon Essentials Slim Fit Jeans For Men,19.293,4.090909090909091,67,0.3143677097408732,1
B07BJLDWXJ,Amazon Essentials Men's Skinny-Fit Stretch Jean,28.5,4.5,9,0.23363079975579973,1
B07BJT1V5K,Amazon Essentials Mens Straight-Fit Casual Stretch Chino Pants,23.7,4.4,2,0.3841959776460317,1
B07BN24BLX,Nautica Men's Short Sleeve Solid Stretch Cotton Pique Polo Shirt,28.01,4.818181818181818,5,0.44169066728725814,1
B07BN52FT6,Nautica Men's Short Sleeve Solid Stretch Cotton Pique Polo Shirt,27.3,5.0,0,0.4265306122448979,1
B07BN72SZ5,Amazon Essentials Men's Lightweight Water-Resistant Packable Hooded Puffer Jacket,28.9332,4.7,104,0.2162579049961292,1
B07BPPGDWH,Nike Dri-FIT Icon,33.24,5.0,4,0.3245833333333333,1
B07C8C786Y,INNERSY Men's Boxer Briefs Cotton Stretchy Underwear 7 Pack for a Week,35.99,4.9,0,0.350758917008917,1
B07CL5HT3S,Simple Joys by Carter's Baby Hooded Sweater Jacket with Sherpa Lining,18.0,4.9,24,0.30056349206349203,1
B07DBS6VLL,Hanes Men's X-Temp 12-Pack Active Cool Crew Socks,26.8225,4.6,5,0.30610515873015876,1
B07DPCDSWS,Reebok Unisex Adult Club C 85 Vintage,69.9922,4.8,8,0.3213950216450216,1
B07DRMT92L,Real Essentials 5 Pack: Men’s Short Sleeve Dry Fit Active Crew Neck T Shirt - Athletic Running Gym Workout Tee Tops,34.99,4.3076923076923075,74,0.2220638764023881,1
B07DRN7QQD,Real Essentials 5 Pack: Men’s Short Sleeve Dry Fit Active Crew Neck T Shirt - Athletic Running Gym Workout Tee Tops,34.99,4.0,0,0.084090909090909,1
B07FBKFTJG,Skechers Men's Cessnock Food Service Shoe,55.25350000000001,4.5,58,0.23860970786567495,1
B07FDRXL7D,"Amazon Essentials Women's Classic-Fit Short-Sleeve Crewneck T-Shirt, Multipacks",17.1,4.6,123,0.2876070280866476,1
B07FH9W2J7,Amazon Essentials Men's Straight-Fit Wrinkle-Resistant Flat-Front Chino Pant,21.1711,4.4,6,0.29777283249158243,1
B07FMX9FSF,"POLO RALPH LAUREN Men's Slim Fit Cotton Crew Undershirts, 3 Pack",49.5,5.0,0,0.2695068027210884,1
B07FMXG9PB,Polo Ralph Lauren Men's Slim Fit Cotton V-neck Undershirt 3-pack,49.5,4.8,0,0.36050595238095234,1
B07FMY215J,POLO RALPH LAUREN Men's Classic Fit Cotton Tanks 3-pack,49.5,4.6,5,0.23325915750915752,1
B07FMYL9NR,"POLO RALPH LAUREN Men's Classic Fit Cotton Crew Undershirts, 3 Pack",49.5,4.6,7,0.3481875,1
B07FMZ31SR,"POLO RALPH LAUREN Men's Classic Fit Cotton V-Neck Undershirts, 3 Pack",49.5,4.7,30,0.19026479567707164,1
B07GFPVS2M,Gerber Baby 8-Pack Short Sleeve Onesie Bodysuits,15.88,4.857142857142857,9,0.3458728518955791,1
B07GG1R78H,Gerber Baby Girls' 8-Pack Short Sleeve Onesies Bodysuits,21.005,4.9,3,0.40896428571428567,1
B07GG593DL,Gerber Baby Boy and Girls 4-Pack Sleeper Gown,20.99,4.9,17,0.3507261153198653,1
B07GP4Q8Z5,Nike Mens Dri-FIT Short Sleeve Polo Shirt,42.951,4.2,0,0.27659418767507005,1
B07GPPKNRV,Skechers Men's Moreno Ederson Oxford,54.342200000000005,4.6,24,0.3158052721088435,1
B07GQDTNWK,Clarks Women's Juliet Palm Loafer,49.9941,4.4,53,0.2625043290376623,1
B07GX21XWG,Lucky Brand Men's 363 Vintage Straight Jean,59.864,4.6,0,0.2103299663299663,1
B07GZX245D,INVACHI Men's Wool Blend Pea Coat Warm Winter Trench Coat with Detachable Soft Scarf Single Breasted Overcoat,68.99,4.3,256,0.2244571368611547,1
B07H12JDN6,Lee Men's Extreme Motion Regular Boot Jean,39.905,4.916666666666667,20,0.4050968848538293,1
B07H3MYXFK,Simple Joys by Carter's Boys' 6-Piece Snug Fit Cotton Pajama Set,24.99,4.9,3,0.4271226551226551,1
B07HDLPVLH,"Hanes Men's Ecosmart Jogger Sweatpants, Men's Midweight Fleece Lounge Pants, 30.5",14.0536,4.7,16,0.2664445187165775,1
B07HNTS427,"Calvin Klein Men's Modern Fit Dress Pants | Suit Pants for Men | Performance Stretch Fabric, Flat Front, Ready-to-Wear",47.2221,4.6,10,0.37785416666666666,1
B07HNVR4ZD,Wrangler Authentics Men's Relaxed Fit Boot Cut Jean,27.0,4.4,0,0.2531364468864469,1
B07HNWC5LC,Wrangler Authentics Men's Classic Cargo Stretch Short,26.85,4.9,34,0.26365844979039765,1
B07HNWNXM2,Wrangler Authentics Men's Comfort Flex Waist Relaxed Fit Jean,29.99,4.8,24,0.22986689964624746,1
B07HR877BN,Nautica Men's Short Sleeve Solid Crew Neck T-Shirt,24.99,4.642857142857143,4,0.2136710588793922,1
B07HR8C4X3,Nautica Men's Solid Deck Shirt,29.99,4.8,0,0.5504166666666667,1
B07J31WFNB,Amazon Essentials Skinny Jeans for Women (Stretchy),17.2613,4.5,462,0.21373663009921126,1
B07J6784R8,Nautica Men's Classic Fit Short Sleeve Dual Tipped Collar Polo Shirt,26.7,5.0,0,0.625,1
B07J9PZGX4,Nautica Men's Solid Crew Neck Short-Sleeve Pocket T-Shirt,17.2721,4.7,0,0.358693056943057,1
B07JBRGFH4,"Gildan Men's Crew T-Shirts, Multipack, Style G1100",21.97,4.636363636363637,76,0.24415992701730513,1
B07JDGJ4P2,"Gildan Men's Underwear Covered Waistband Boxer Briefs, Multipack",17.5,4.7,51,0.2794875095328791,1
B07JHY96QC,Amazon Essentials Men's Athletic-Fit Casual Stretch Chino Pant (Available in Big & Tall),23.7,4.6,21,0.27653187229437226,1
B07JQ12R59,Polo Ralph Lauren Men's Ribbed Casual Crew Socks -3 Pair Pack- Cotton Comfort & Heel-toe Reinforcement,24.0,4.8,4,0.22849988662131518,1
B07JR4NDKS,Grunt Style 1776 Flag,29.99,4.833333333333333,0,0.40717757936507937,1
B07JVL5CW2,Plaid&Plain Men's Skinny Stretchy Khaki Pants Colored Pants Slim Fit Slacks Tapered Trousers,27.99,5.0,2,0.17786931818181814,1
B07K6V9763,The Children's Place Boys' Stretch Straight Leg Jeans,23.99,4.6,0,0.3034583333666666,1
B07KQVKMPP,"Gildan Men's Underwear Boxers, Multipack",19.99,4.6,18,0.28055654612272257,1
B07KWV1N5V,Springrain Men's Wool Blend Pea Coat Notched Collar Single Breasted Overcoat Warm Winter Trench Coat,59.989999999999995,4.2,31,0.29697807557852196,1
B07L57PG34,TACVASEN Men's Winter Jacket Cotton Military Jackets Fleece Lined Thick Work Warm Cargo Coats with Hooded,68.3837,4.6,34,0.3012912030596972,1
B07LGQ884Z,Rustler Men's Classic Regular Fit,13.982599999999998,4.818181818181818,18,0.33675148925148923,1
B07LGVSPKF,Rustler Men's Classic Relaxed Fit,13.987,4.5,45,0.22198691450571148,1
